2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.917s | LLM: 1.608s | Total: 4.524s | Q: Scrum nedir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.910s | LLM: 1.576s | Total: 4.486s | Q: Scrum nedir?...
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.991s | LLM: 1.543s | Total: 4.534s | Q: Scrum nedir?...
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.936s | LLM: 1.584s | Total: 4.521s | Q: Scrum nedir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.965s | LLM: 1.762s | Total: 4.727s | Q: Agile nedir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.695s | LLM: 2.115s | Total: 4.810s | Q: Agile nedir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.886s | LLM: 1.916s | Total: 4.802s | Q: Agile nedir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.848s | LLM: 2.304s | Total: 5.152s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:43 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:43 | INFO     | Query OK | Docs: 6 | Retrieval: 2.970s | LLM: 2.237s | Total: 5.206s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:44 | INFO     | Query OK | Docs: 6 | Retrieval: 2.963s | LLM: 2.378s | Total: 5.342s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:44 | INFO     | Query OK | Docs: 6 | Retrieval: 2.673s | LLM: 2.770s | Total: 5.443s | Q: Yazilim mimarisi neden onemlidir?...
2025-12-15 00:50:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
2025-12-15 00:50:44 | INFO     | Query OK | Docs: 6 | Retrieval: 2.776s | LLM: 2.756s | Total: 5.532s | Q: Mikroservis avantajlari nelerdir?...
2025-12-15 00:50:44 | INFO     | Query OK | Docs: 6 | Retrieval: 2.868s | LLM: 2.670s | Total: 5.538s | Q: Agile nedir?...
2025-12-15 00:50:44 | INFO     | HTTP Request: POST http://localhost:8080/v1/chat/completions "HTTP/1.1 200 OK"
